Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Chile,CHL,2015,24.84461527443071,3.015242293794259,20.96583497343749,1.1134862957532072
Chile,CHL,2016,24.02172262772059,3.0171241719193125,20.10518108731192,1.148452781696218
Chile,CHL,2017,24.29921297777114,2.937137106443011,20.412135195915624,1.2139817588187567
China,CHN,1990,184.4132044291373,107.96766314446877,56.10672094658401,35.26596634252823
China,CHN,1991,181.80070431556956,103.75803836916401,57.73257106379495,34.93007362306657
China,CHN,1992,177.2834671803102,98.86168494086644,58.39779785194798,34.199467733337094
China,CHN,1993,172.2670875926519,93.71119513053173,58.860013113699836,33.42554520057726
China,CHN,1994,167.08293930934695,88.67163036980888,59.08000890128994,32.60220434389879
China,CHN,1995,160.71395611229696,82.99206899485023,59.03278117848929,31.297065628275355
China,CHN,1996,155.38579494335812,77.68883463414018,59.58499400286259,30.140656463910087
China,CHN,1997,149.68342183886796,72.53077243922507,59.6985430217298,28.884138384965766
China,CHN,1998,144.84161988620303,68.03976433872009,59.918035960668966,27.798060084679943
China,CHN,1999,138.20173340901763,63.112878629417,59.13798964890629,26.13882380798165
China,CHN,2000,133.13668522384467,59.163316654960724,58.79216262731001,24.76396843349261
China,CHN,2001,128.09400569277955,54.86002284733948,58.837759779366394,23.400941741280523
China,CHN,2002,124.99787347945652,51.5810486582189,59.60034937541863,22.413324314624415
China,CHN,2003,122.31202486464551,48.49132648820436,60.52764036744176,21.519232777179674
China,CHN,2004,118.0011858408618,44.85315781338508,60.54620082087773,20.346400180946688
China,CHN,2005,111.34190292234423,40.540735941638694,59.10375147891347,18.818079966947018
China,CHN,2006,102.94849514303722,35.48316872526325,56.858379561802515,16.998423391104772
China,CHN,2007,97.83587858207461,31.909869012073564,56.03075191952254,15.799629970399153
China,CHN,2008,95.43912890437898,29.46463845165397,56.482741980369,15.101243431403917
China,CHN,2009,94.24721802309006,27.471811315084842,57.52544268971824,14.66165491414738
China,CHN,2010,92.97014294146548,25.541573303355555,58.41215079376876,14.231178986312987
China,CHN,2011,90.65488369677888,23.3218830475631,58.74084547779062,13.522866670643857
China,CHN,2012,85.77144183514751,22.144622911738058,55.39028457754973,12.758636003931201
China,CHN,2013,81.734686234979,19.888228770985457,54.17601015667236,11.86164992760328
China,CHN,2014,78.9903230003452,18.9203232703388,52.51894495647148,11.50372951893778
China,CHN,2015,78.25140892499367,18.120062657048432,52.65894615543432,11.316569963060136
China,CHN,2016,74.70570934957617,17.765584361779148,49.44868337698298,11.14419970552404
China,CHN,2017,72.67678885845345,15.803640803011788,49.36714161016279,11.12328257255152
Colombia,COL,1990,52.974996101995536,31.576501825085348,20.49084768350396,1.2378434481702807
Colombia,COL,1991,54.373645994395915,31.664341774213284,21.748749616355596,1.306844697117709
Colombia,COL,1992,53.92457020883623,30.692261210081167,22.235943649636248,1.3514700342106714
Colombia,COL,1993,52.08889459991786,29.082038158853617,22.00718870899865,1.351107126785872
Colombia,COL,1994,51.7357054130494,27.976075115116974,22.705016134624405,1.4176137983843422
Colombia,COL,1995,51.36519201912762,27.00948960500327,23.226217092722873,1.5096041414273649
Colombia,COL,1996,50.258499048634974,25.273619793497417,23.835446171946227,1.5324358930688737
Colombia,COL,1997,45.57289268548486,22.01385029331252,22.47829822982591,1.4366010527998518
Colombia,COL,1998,43.16095289573411,20.478233822349527,21.61726807397154,1.4143822380322184
Colombia,COL,1999,42.08606781611232,19.563922890721617,21.44183961760961,1.430870352114769
Colombia,COL,2000,40.42246475201321,18.558249619738664,20.81083336546484,1.3912196625220508
Colombia,COL,2001,39.814463331311785,17.789763426761468,20.969511530527097,1.3948770969059412
Colombia,COL,2002,41.810342613911914,17.98227766613135,22.700825077731185,1.4902684958739383
Colombia,COL,2003,39.12113858913212,16.477684573390288,21.56728749978517,1.4232529679087382
Colombia,COL,2004,38.0569881361012,15.600480920223866,21.387925297782655,1.4115420393147615
Colombia,COL,2005,36.22128242950334,14.37834454312471,20.78828683612804,1.3880655464061091
Colombia,COL,2006,36.122420644206166,13.584144666685654,21.4686078254875,1.4071063539340083
Colombia,COL,2007,34.21643451131344,12.16666344279434,21.012450729362065,1.3622688179183489
Colombia,COL,2008,33.07322475298272,10.966467113387722,21.0693275892786,1.3578534553453943
Colombia,COL,2009,32.04177487513531,9.87268089797363,21.133844547134103,1.3490064597211315
Colombia,COL,2010,30.225155066209204,8.635844208113888,20.568545404977787,1.3222050991045702
Colombia,COL,2011,28.047016603695173,7.4774870253301735,19.5955975799222,1.258330088133964
Colombia,COL,2012,26.588128214090606,6.729712468192065,18.895130002094067,1.2347719098847632
Colombia,COL,2013,25.051088139658393,6.101163695674524,17.991234025186046,1.217582739568976
Colombia,COL,2014,23.881846794620724,5.5917757989286905,17.33762822695851,1.2027783809794292
Colombia,COL,2015,23.238309577371385,5.179411361083676,17.091480018875185,1.2115166457867328
Colombia,COL,2016,22.415220772082826,4.798744203707593,16.63831581682576,1.2169289067122273
Colombia,COL,2017,22.0962392218409,4.401575149943022,16.699475406298223,1.2354045133966731
Comoros,COM,1990,189.67081205631703,172.63726539173868,16.113222694417118,1.7264211469184414
Comoros,COM,1991,185.44632733009618,168.45009782206134,16.079698685075634,1.7103038897650398
Comoros,COM,1992,181.49507335322158,164.62092376509506,15.967225797006119,1.6869192882103894
Comoros,COM,1993,177.9259119743034,161.05200213160416,15.975834675327146,1.660336357116162
Comoros,COM,1994,175.03317999481087,158.0611167045772,16.079797407750302,1.636777584808431
Comoros,COM,1995,171.9872369868068,155.14362863046682,15.965410205980962,1.6067995725303819
Comoros,COM,1996,168.34188119961775,151.44658194719565,16.037737555324014,1.5626950930665295
Comoros,COM,1997,164.6146626603109,147.77179194728635,16.012897810429088,1.5073506675931514
Comoros,COM,1998,159.31300940723597,142.62235307182095,15.897907954226831,1.4314608528352861
Comoros,COM,1999,152.1443305501263,135.8221363433509,15.577546578311866,1.3378558248992474
Comoros,COM,2000,146.33133753317404,130.15724346511632,15.461704621512107,1.2700504441285363
Comoros,COM,2001,140.0151318185647,124.11432493805493,15.221258749012218,1.202746732031496
Comoros,COM,2002,134.51941471346524,118.76292142314236,15.10159323477317,1.1506638996027287
Comoros,COM,2003,129.03202711375494,113.44608010279828,14.95533977440367,1.0996063546463277
Comoros,COM,2004,124.443143960634,108.92922382200187,14.89903087957112,1.0625069859671317
Comoros,COM,2005,120.6846199220852,105.42216474700645,14.665128103483207,1.0278491099822877
Comoros,COM,2006,118.05924918281976,102.66768036628419,14.806562979236178,0.9984553678320487
Comoros,COM,2007,115.03691508669677,99.5155127184777,14.950534273952737,0.9672180500811512
Comoros,COM,2008,113.28085118212572,97.7403999285865,14.97966749183011,0.9447701082504257
Comoros,COM,2009,110.95327060705357,95.47275944851782,14.929685134125375,0.9230016281749834
Comoros,COM,2010,108.3350694171376,92.87600422087583,14.91459516798993,0.9059215160483032
Comoros,COM,2011,106.34321593117897,90.35867632065087,15.441353286662538,0.8978277261567587
Comoros,COM,2012,104.19963861000683,87.98480167155145,15.675540062710136,0.8858965005514168
Comoros,COM,2013,101.67961115160281,85.48118935342218,15.66263859868146,0.8743572712811817
Comoros,COM,2014,99.91590406848768,83.23507027023649,16.149052104700864,0.8638325882849817
Comoros,COM,2015,97.48803149016649,81.01889748713413,15.937790126218914,0.8547761002549542
Comoros,COM,2016,95.4583992868599,78.9703225527392,15.957315325850752,0.8477318417811377
Comoros,COM,2017,93.98944768869382,77.29998015329122,16.158609453462063,0.8435481370153114
